Currency,target,date,rates
BTC,USD,2011-04-20,1.14
BTC,USD,2012-04-20,5.35
BTC,USD,2013-04-20,126.62
BTC,USD,2016-04-20,441.16
DASH,USD,2016-04-20,6.2
DOGE,USD,2016-04-20,0.000225
ETH,USD,2016-04-20,8.54
LTC,USD,2016-04-20,3.27
STEEM,USD,2016-04-20,0.8325
VEN,USD,2016-04-20,0.09091
XMR,USD,2016-04-20,1.06
XRP,USD,2016-04-20,0.006951
XVG,USD,2016-04-20,0.00012
611,USD,2018-04-20,0.382624
ABC,USD,2018-04-20,70.0
ACP,USD,2018-04-20,0.014931
ACT,USD,2018-04-20,0.27998
ACT*,USD,2018-04-20,0.276836
ADA,USD,2018-04-20,0.304571
ADCN,USD,2018-04-20,0.003209
ADL,USD,2018-04-20,243.0
ADX,USD,2018-04-20,0.912246
ADZ,USD,2018-04-20,0.03386
AE,USD,2018-04-20,2.070437
AGI,USD,2018-04-20,0.20719
AIB,USD,2018-04-20,0.005626
AIDOC,USD,2018-04-20,0.049116
AION,USD,2018-04-20,3.354242
AIR,USD,2018-04-20,0.00936
ALT,USD,2018-04-20,51.99
AMB,USD,2018-04-20,0.523832
AMM,USD,2018-04-20,0.260013
ANT,USD,2018-04-20,4.2
APC,USD,2018-04-20,0.003394
APPC,USD,2018-04-20,0.536898
ARC,USD,2018-04-20,0.050711
ARCT,USD,2018-04-20,0.009254
ARDR,USD,2018-04-20,0.399527
ARK,USD,2018-04-20,3.152324
ARN,USD,2018-04-20,1.482354
ASAFE2,USD,2018-04-20,0.0133
AST,USD,2018-04-20,0.509543
ATB,USD,2018-04-20,0.159
ATM,USD,2018-04-20,0.0045
AURS,USD,2018-04-20,0.352867
AVT,USD,2018-04-20,1.3899
BAR,USD,2018-04-20,0.00563
BASH,USD,2018-04-20,0.0056
BAT,USD,2018-04-20,0.406462
BAY,USD,2018-04-20,0.103565
BBP,USD,2018-04-20,0.00461
BCD,USD,2018-04-20,4.58478
BCH,USD,2018-04-20,1124.795801
BCN,USD,2018-04-20,0.005135
